area_type,availability,location,bath,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Attibele,2,Inenshe,695,1,1,25
Plot  Area,Ready To Move,Prithvi Layout,2,Prigh L,2273,4,3,220
Super built-up  Area,18-Mar,GM Palaya,2,,1140,2,2,48.95
Built-up  Area,Ready To Move,Giri Nagar,2,,3000,4,1,375
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1180,2,2,41
Super built-up  Area,20-Aug,Begur Road,2,Pruthg ,2400,4,2,152
Super built-up  Area,Ready To Move,Attibele,2,Inenshe,850,1,1,25
Super built-up  Area,Ready To Move,Banashankari,2,Koestpt,1200,2,1,60
Built-up  Area,18-Dec,"Bellandur, ",2,,3160,4,3,206
Super built-up  Area,Ready To Move,Hoodi,2,Keers S,1769,3,3,96.87
Plot  Area,Ready To Move,Jigani,2,Ceeury ,133.3Sq. Yards,3,2,160
Carpet  Area,18-Dec,Bhoganhalli,3,Rosha I,1554.3,4,1,131
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Plot  Area,18-Apr,2nd Block Jayanagar,2,,4920,5,2,1150
Super built-up  Area,Ready To Move,Mallasandra,3,Shbhi S,905,2,1,40
Built-up  Area,Ready To Move,Kothanur,4,,627,1,1,30
Built-up  Area,18-Mar,Domlur,4,,2180,3,2,285
Super built-up  Area,Ready To Move,Frazer Town,2,,2400,3,2,260
Super built-up  Area,Ready To Move,Marathahalli,3,Palanla,1435,3,1,73
Super built-up  Area,22-May,Jakkur,4,SoineC ,3405.1,6,3,400
Built-up  Area,Ready To Move,Kodihalli,4,KAMESRI,1620,3,2,130
Super built-up  Area,Ready To Move,Whitefield,3,,1862,3,2,125
Super built-up  Area,19-Nov,Kaikondrahalli,3,,674,1,1,19.9
Super built-up  Area,Ready To Move,Marathahalli,4,,1220,2,1,59
Super built-up  Area,Ready To Move,Haralur Road,4,,1027,2,2,44
Super built-up  Area,Ready To Move,Electronic City,3,GMown E,1025,2,1,49
Super built-up  Area,Ready To Move,Thanisandra,2,MenueNo,1430,2,3,54.5
Super built-up  Area,Ready To Move,Panathur,3,Diensso,1235,2,3,65
Super built-up  Area,Ready To Move,Electronics City Phase 1,4,NianaBr,1291,2,3,32
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1498,3,2,95
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,2180,3,2,240
Super built-up  Area,18-Apr,Electronic City,4,,1000,2,1,29.7
Plot  Area,Ready To Move,Ejipura,5,,922,2,1,70
Built-up  Area,Ready To Move,Victoria Layout,3,,850,2,1,72
Plot  Area,Ready To Move,New Thippasandra,3,,750,3,2,155
Super built-up  Area,Ready To Move,AECS Layout,3,CMhamai,1123,2,2,64
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GRvanun,1235,2,1,75
Super built-up  Area,Ready To Move,Kogilu,2,,1250,2,1,55.55
Plot  Area,Ready To Move,Whitefield,3,Prrry M,2403,5,,360
Super built-up  Area,18-Nov,Sarjapur  Road,2,AsastDe,984,2,1,45.91
Super built-up  Area,Ready To Move,Sarjapur  Road,2,PuineSu,1305,2,1,99
Plot  Area,Ready To Move,Attur Layout,3,,1200,1,0,65
Plot  Area,Ready To Move,1st Block HRBR Layout,3,,600,3,1,90
Super built-up  Area,19-Jun,Hebbal,2,Raard B,2790,5,3,204
Super built-up  Area,Ready To Move,Old Madras Road,3,Brglede,2010,3,2,125
Built-up  Area,Ready To Move,Electronics City Phase 1,4,,995,2,0,42
Built-up  Area,Ready To Move,Varthur Road,3,VRdelit,1277,2,2,59
Super built-up  Area,Ready To Move,7th Phase JP Nagar,4,,1236,2,2,61.33
Super built-up  Area,Ready To Move,Akshaya Nagar,2,DLhtsnd,1265,2,3,67
Super built-up  Area,18-Apr,Kanakpura Road,1,PrarePa,525,,,27
Built-up  Area,Ready To Move,Gubbalala,4,MauilTr,2570,4,,141
Plot  Area,Ready To Move,Hennur Road,1,,2400,5,3,390
Super built-up  Area,Ready To Move,Shikaripalya,2,ALtonea,1442,3,2,56.24
Super built-up  Area,Ready To Move,Ardendale,2,AWharde,1224,2,2,70
Super built-up  Area,Ready To Move,Bellandur,2,,1205,2,1,59
Super built-up  Area,Ready To Move,Richmond Town,2,APusenc,1233,2,3,100
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,,1312,2,3,69
Super built-up  Area,Ready To Move,Electronic City,3,Goty  E,1449,3,2,90
Super built-up  Area,Ready To Move,Yelenahalli,3,Nisisn ,1090,2,1,54
Plot  Area,Ready To Move,Kaggadasapura,4,,2100,5,0,150
Super built-up  Area,Ready To Move,Uttarahalli,2,,1390,2,3,62.55
Super built-up  Area,Ready To Move,JP Nagar,3,Srncyya,1200,2,3,78
Plot  Area,Ready To Move,Mallasandra,2,,600,2,2,50
Super built-up  Area,Ready To Move,BTM 2nd Stage,4,Vincyat,1000,2,2,58
Plot  Area,18-Oct,Devanahalli,1,Amais V,2400,5,2,190
Super built-up  Area,21-Dec,Thanisandra,3,Bhe 2ko,1732,3,1,85.73
Super built-up  Area,Ready To Move,Banashankari,1,Bregae ,1290,2,2,80
Super built-up  Area,Ready To Move,Marasandra,5,,1840,3,3,85
Super built-up  Area,Ready To Move,Thanisandra,3,Bhmesy ,1917,4,2,100
Built-up  Area,Ready To Move,Bhuvaneshwari Nagar,5,NaaveEn,1100,2,2,57
Super built-up  Area,Ready To Move,Kudlu,2,,1455,2,3,60
Super built-up  Area,18-Dec,Old Airport Road,5,Jaades ,2774,4,3,208
Plot  Area,Ready To Move,Haralur Road,3,,1200,5,,255
Super built-up  Area,Ready To Move, Devarachikkanahalli,4,Shireru,1425,2,2,65
Super built-up  Area,18-Dec,Whitefield,2,Prtates,1655,3,1,113
Super built-up  Area,18-Mar,Haralur Road,5,SNnia E,2805,5,3,160
Built-up  Area,Ready To Move,R.T. Nagar,2,,600,7,3,93
Super built-up  Area,Ready To Move,AGS Layout,4,,1040,2,1,46.79
Super built-up  Area,Ready To Move,Akshaya Nagar,1,,1126,2,1,55
Plot  Area,Ready To Move,Kodichikkanahalli,2,,1600,4,1,200
Super built-up  Area,Ready To Move,Hebbal,2,,1250,2,1,55.55
Plot  Area,Ready To Move,Yelahanka,3,InllaPa,1800,4,2,180
Plot  Area,Ready To Move,Kalkere Channasandra,5,,1200,2,0,53
Built-up  Area,Ready To Move,Ashirvad Colony,3,VMowsea,2050,3,1,100
Super built-up  Area,Ready To Move,Whitefield,4,UKe 2nz,530,1,1,29.44
Built-up  Area,19-Jun,Sarjapur,2,Caonand,2580 - 2591,4,0,139.5
Super built-up  Area,Ready To Move,Kambipura,4,Prrtht ,883,2,1,37
Super built-up  Area,Ready To Move,Uttarahalli,2,,1490,2,2,59.6
Super built-up  Area,Ready To Move,Ramagondanahalli,4,SVodsve,1295,2,2,95
Super built-up  Area,Ready To Move,Sompura,1,Suiseit,1275,3,1,59
Super built-up  Area,Ready To Move,Doddabanahalli,3,,800,2,2,30
Super built-up  Area,Ready To Move,Devanahalli,4,,1200,1,0,95
Super built-up  Area,Ready To Move,Bellandur,4,MancyRe,1063,2,1,58
Super built-up  Area,Ready To Move,Balagere,2,Soresea,656,1,1,43
Super built-up  Area,Ready To Move,Shakthi Nagar,5,,1125,2,2,36
Super built-up  Area,18-Dec,Marathahalli,3,Unezes ,881,2,1,48.06
Plot  Area,Ready To Move,Nayandanahalli,3,,1350,8,2,200
Built-up  Area,Ready To Move,Bisuvanahalli,1,Prityel,700,1,1,32
Plot  Area,Ready To Move,AGS Layout,3,,1936,3,0,110
Super built-up  Area,18-Dec,Hosa Road,1,SJerse ,1680,3,1,101
Super built-up  Area,Ready To Move,Rayasandra,2,MJeusyl,1253,2,2,57
Super built-up  Area,Ready To Move,Rajaji Nagar,2,Brway G,1640,3,3,230
Super built-up  Area,Ready To Move,Mysore Road,2,,1082,3,2,50
Built-up  Area,18-Dec,Electronic City,1,,1065,2,1,30.75
Super built-up  Area,18-Dec,Iblur Village,3,DNionfl,2100,4,2,145
Super built-up  Area,Ready To Move,Electronic City,4,GMown E,1070,2,1,58
Super built-up  Area,16-Sep,Raja Rajeshwari Nagar,1,,1280,3,2,57.6
Plot  Area,18-Apr,6th block Koramangala,3,,1200,5,2,300
Built-up  Area,18-Aug,Electronic City Phase II,3,Sryalan,1125,2,1,29.25
Super built-up  Area,Ready To Move,Sarjapur  Road,3,,1755,3,2,122
Super built-up  Area,Ready To Move,Electronic City,1,DSgmax ,1210,2,1,54
Super built-up  Area,18-Sep,Talaghattapura,1,,951,2,2,30.43
Built-up  Area,18-Apr,Electronic City,3,GMown E,1500,2,1,75
Super built-up  Area,Ready To Move,Coffee Board Layout,4,Sanstya,1652.5,3,2,90
Super built-up  Area,Ready To Move,Yeshwanthpur,1,IBityin,1381,2,2,76.18
Super built-up  Area,18-Dec,Whitefield,1,BSlasin,1085,2,1,57
Super built-up  Area,18-Apr,Whitefield,2,Prtates,905,1,1,50
Super built-up  Area,Ready To Move,Hennur Road,2,MItatHa,1685,3,2,95
Super built-up  Area,Ready To Move,Somasundara Palya,5,ManceEl,1200,2,2,75
Super built-up  Area,Ready To Move,Anandapura,1,ViensRK,1151,2,1,42.9
Built-up  Area,Ready To Move,Brookefield,2,Goodsrb,3532,3,3,170
Super built-up  Area,Ready To Move,Kanakpura Road,3,PuandHi,1665,3,2,86.91
Built-up  Area,Ready To Move,Kengeri Satellite Town,5,Malowr ,800,2,1,40
Built-up  Area,Ready To Move,Chamrajpet,3,,1050,2,1,162
Super built-up  Area,Ready To Move,Rajiv Nagar,1,Ahntyve,1030,2,2,46.5
Super built-up  Area,Ready To Move,Hoodi,3,Keers S,1257,2,1,71.03
Super built-up  Area,18-Dec,Whitefield,2,BSlasin,1600,3,2,82
Super built-up  Area,Ready To Move,Choodasandra,4,GRlpank,1465,3,3,75
Super built-up  Area,Ready To Move,Jakkur,2,HRaniIb,1650,3,2,111
Super built-up  Area,Ready To Move,Haralur Road,3,,1243,2,2,46
Built-up  Area,Ready To Move,Yelahanka New Town,3,,680,1,1,80
Plot  Area,18-Aug,Whitefield,2,,1230,4,2,80
Super built-up  Area,Ready To Move,Koramangala,1,Jainaht,1300,2,2,82
Built-up  Area,Ready To Move,KR Puram,3,Hoston ,1000,2,1,44.5
Super built-up  Area,Ready To Move,Mahadevpura,2,Neisei ,1146,2,1,53.8
Super built-up  Area,Ready To Move,Hennagara,4,,1200,6,3,120
Super built-up  Area,18-Mar,Indira Nagar,2,,2601,4,,312
Super built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3,PrBayGa,2159,3,2,110
Super built-up  Area,Ready To Move,Whitefield,2,SSthamh,1255,2,2,40
Super built-up  Area,Ready To Move,Hebbal Kempapura,4,Vrensn ,1130,2,2,60
Super built-up  Area,Ready To Move,Padmanabhanagar,4,Shers S,1200,2,1,60
Built-up  Area,Ready To Move,Sarjapur  Road,1,ARineun,1040,2,1,37
Plot  Area,Ready To Move,TC Palaya,3,,1500,8,2,150
Plot  Area,Ready To Move,Byrathi Village,5,,906,3,2,55
Super built-up  Area,Ready To Move,Uttarahalli,5,Shony S,1180,2,1,41.3
Plot  Area,Ready To Move,Ullal Uppanagar,2,,1200,7,2,169
Plot  Area,Ready To Move,Govindpura,1,,850,7,2,100
Super built-up  Area,Ready To Move,KR Puram,1,,1200,2,3,47
Built-up  Area,Ready To Move,Sarjapur  Road,3,MJinele,1374,3,2,51
Super built-up  Area,Ready To Move,Vidyaranyapura,3,,4700,10,3,130
Super built-up  Area,19-Dec,Whitefield,3,Goted U,613 - 648,1,0,32.15
Plot  Area,Ready To Move, south,3,,2400,2,0,480
Super built-up  Area,Ready To Move,Haralur Road,2,,1027,2,2,44
Plot  Area,Ready To Move,Ittamadu,2,,1200,4,,130
Super built-up  Area,Ready To Move,Jalahalli,2,Tahtsla,2384,4,2,165
Super built-up  Area,19-Aug,Electronic City,2,,1033,2,2,28.41
Super built-up  Area,Ready To Move,Yelahanka,4,Neite T,1200,2,1,54
Built-up  Area,Ready To Move,Haralur Road,2,NDionas,2017,3,2,105
Plot  Area,Ready To Move,Rainbow Drive,4,,1500,3,2,138
Super built-up  Area,Ready To Move,Kamala Nagar,3,,700,2,0,43
Plot  Area,Ready To Move,Shampura,3,,1150,6,2,75
Super built-up  Area,Ready To Move,Kanakpura Road,2,,1495,2,2,52.33
Super built-up  Area,Ready To Move,Kothanur,2,,1302,2,1,68.5
Built-up  Area,18-Mar,Whitefield,3,Prtates,905,1,1,52
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1303,2,1,55.79
Built-up  Area,Ready To Move,Electronics City Phase 1,3,,1350,3,0,71
Super built-up  Area,Ready To Move,Gottigere,3,SMshi M,1380,2,2,95
Super built-up  Area,Ready To Move,Harlur,2,Shodsir,1620,3,1,110
Built-up  Area,Ready To Move,Chandapura,3,,4800,4,3,250
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Maager ,1000,2,1,38.5
Plot  Area,Ready To Move,Ramamurthy Nagar,3,,800,4,0,88
Super built-up  Area,18-Apr,Thanisandra,2,,1250,1,1,54
Built-up  Area,Ready To Move,3rd Block Koramangala,2,,1750,3,3,170
Super built-up  Area,Ready To Move,Anekal,4,,997,3,2,55
Super built-up  Area,15-Oct,Kothanur,2,Somumys,1760,3,,111
Super built-up  Area,Ready To Move,Yelahanka,3,PuziaVe,1322,2,2,75
Plot  Area,Ready To Move,Kanaka Nagar,3,,1365,3,0,99
Super built-up  Area,Ready To Move,Sahakara Nagar,3,HoAcela,1500,3,2,125
Super built-up  Area,Ready To Move,Kaggadasapura,3,Mancya ,1256,2,2,50
Super built-up  Area,Ready To Move,Brookefield,3,Neestna,941,2,2,48
Plot  Area,Ready To Move,Devanahalli,2,Soacyst,5000,4,3,465
Super built-up  Area,Ready To Move,Kanakpura Road,2,PuandHi,1665,3,2,86.58
Super built-up  Area,Ready To Move,Hennur Road,4,ChionCo,1414,2,,84.18
Super built-up  Area,Ready To Move,Chikkalasandra,2,,1270,2,3,55.25
Plot  Area,Ready To Move,Madiwala,3,,800,2,2,80
Plot  Area,Ready To Move,Kengeri Satellite Town,3,,4100,3,0,300
Built-up  Area,Ready To Move,Mathikere,2,,1800,3,,105
Built-up  Area,Ready To Move,Pattanagere,2,,850,2,0,35
Super built-up  Area,21-Mar,Kanakpura Road,3,GolusLi,712,1,1,38.44
Super built-up  Area,17-Dec,Rajaji Nagar,2,ProdsWe,2563 - 2733,5,0,251.5
Plot  Area,Ready To Move,Basaveshwara Nagar Yelahanka,3,,900,4,2,180
Plot  Area,Ready To Move,TC Palaya,5,,900,2,0,55
Super built-up  Area,Ready To Move,Hebbal,3,Thuse F,1200,2,1,49
Super built-up  Area,Ready To Move,Kengeri Satellite Town,5,,654,1,1,22
Super built-up  Area,Ready To Move,Peenya,2,,708,1,1,55
Plot  Area,Ready To Move,Singapura Village,3,,600,5,3,75
Built-up  Area,Ready To Move,Wilson Garden,2,SaageWi,1680,3,3,135
Super built-up  Area,Ready To Move,Jakkasandra Extension,3,,990,2,2,58
Super built-up  Area,Ready To Move,Uttarahalli,1,Suitea ,1380,2,1,42
Super built-up  Area,18-May,Hebbal,4,Arcia S,1088,2,2,62
Super built-up  Area,Ready To Move,Harlur,3,Zonce E,1414,3,2,77.5
Built-up  Area,Ready To Move,Seshadripuram,2,,1240,2,1,100
Built-up  Area,Ready To Move,Ganesha Block,3,,1810,3,3,118
Super built-up  Area,19-Dec,4th Block Jayanagar,3,,2005,3,2,240
Super built-up  Area,Ready To Move,Kothanur,1,,1185,2,2,58
Plot  Area,18-Oct,Whitefield,3,,1200,3,2,57.15
Super built-up  Area,Ready To Move,Electronic City,1,GMown E,1070,2,1,52
Super built-up  Area,Ready To Move,Shikaripalya,4,Maenara,1265,2,1,58
Built-up  Area,Ready To Move,Sahakara Nagar,3,,1100,2,1,55
Built-up  Area,Ready To Move,Friends Colony,3,SiidsGa,1035,2,2,44
Super built-up  Area,Ready To Move,Sonnenahalli,4,Skacak ,605 - 624,1,0,30.715
Built-up  Area,Ready To Move,2nd Block Jayanagar,5,,1000,2,1,97
Super built-up  Area,Ready To Move,Hegde Nagar,4,,1179,2,2,49.35
Super built-up  Area,Ready To Move,Vittasandra,2,Prlla C,1650,3,1,84
Plot  Area,Ready To Move,Malur Hosur Road,2,,2800,4,3,100
Plot  Area,Ready To Move,Lakshmipura Vidyaanyapura,3,,3500,6,2,120
Built-up  Area,Ready To Move,Nagaraja Garden,4,,1430,3,1,78.65
Super built-up  Area,Ready To Move,Marathahalli,4,Thowsil,1130,2,2,58
Super built-up  Area,Ready To Move,JP Nagar,5,SuncyRe,1850,2,,110
Super built-up  Area,Ready To Move,Hennur,3,,1340,3,2,54.24
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Klark L,4260 - 4408,,,338
Plot  Area,Ready To Move,Nagawara Junction,2,,600,2,0,30
Super built-up  Area,Ready To Move,Banashankari,2,PrdgeSo,2582,5,2,250
Super built-up  Area,Ready To Move,Channasandra,3,,1160,2,1,55
Built-up  Area,Ready To Move,Hegganahalli,2,,1200,2,1,45
Built-up  Area,18-Aug,Rajanna Layout,5,,1116,2,1,37.6
Plot  Area,Ready To Move,Nagarbhavi  BDA Complex,3,,600,2,1,85
Super built-up  Area,Ready To Move,Sarakki Nagar,3,Sowerew,2663,4,1,338
Built-up  Area,Ready To Move,Devasthanagalu,2,CMhidal,1090,2,2,45
Super built-up  Area,Ready To Move,JP Nagar,2,DSillto,1100,2,1,45
Super built-up  Area,18-Aug,Kammasandra,4,DSOakil,1365,2,1,34.13
Super built-up  Area,20-Feb,Vijayanagar,2,Saahaat,1484,3,2,79.19
Super built-up  Area,Ready To Move,Green Glen Layout,3,Prodsm ,1630,3,2,68
Super built-up  Area,18-May,Whitefield,5,SMuilan,1451,2,2,52.43
Super built-up  Area,19-Jul,Kanakpura Road,3,Soazak ,1330,2,1,107
Super built-up  Area,Ready To Move,Thanisandra,4,NRncyrk,2127,3,2,135
Plot  Area,Ready To Move,Adityanagar,2,,875,5,3,120
Plot  Area,Ready To Move,Hallehalli,3,,1260,4,2,65
Super built-up  Area,Ready To Move,Sarjapur  Road,2,MJinele,1173,2,2,45.75
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,,1445,2,1,56
Super built-up  Area,Ready To Move,Jayamahal Extension,2,,2250,4,1,400
Plot  Area,18-Dec,Bannerghatta Road,2,Putere ,1500,4,2,239
Super built-up  Area,18-Nov,Thanisandra,3,Bhe 2ko,1349 - 3324,3,0,115.89
Super built-up  Area,Ready To Move,JP Nagar,3,MBncyh ,1197,2,1,47.88
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,3,,1200,4,1,225
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Maana E,3930,7,,329
Super built-up  Area,Ready To Move,Kanakpura Road,1,JRrnauv,1450,3,3,62.4
Super built-up  Area,Ready To Move,Whitefield,3,SMuilan,1187,2,1,37.85
Plot  Area,Ready To Move,Wilson Garden,1,,4000,6,3,850
Super built-up  Area,18-Aug,Channasandra,2,,1050,2,2,41
Super built-up  Area,18-May,Panathur,1,Saite G,1370,2,2,54.8
Super built-up  Area,Ready To Move,Yelahanka,3,Pyikad ,1036,2,2,39.37
Super built-up  Area,18-Jun,JP Nagar,2,,1275,3,2,41.2
Super built-up  Area,Ready To Move,Old Madras Road,2,Brglede,2010,3,2,115
Super built-up  Area,Ready To Move,Thigalarapalya,3,,1418,2,2,106
Super built-up  Area,Ready To Move,Thanisandra,1,MenueNo,1265,2,2,46.6
Super built-up  Area,Ready To Move,Anandapura,2,ViensRK,1576,3,2,58
Super built-up  Area,Ready To Move,Dodda Nekkundi,2,,1148,2,1,56
Super built-up  Area,Ready To Move,Green View Layout,2,Makeser,1000,2,1,36
Super built-up  Area,Ready To Move,Kudlu,2,MJinala,1293,2,2,85
Plot  Area,18-May,TC Palaya,2,,1200,2,0,66
Super built-up  Area,Ready To Move,Munnekollal,3,Keids O,1210,2,3,75
Built-up  Area,Ready To Move,HSR Layout,2,SruntFa,1126,2,1,69
Built-up  Area,Ready To Move,Sarakki Nagar,2,,1840,4,1,175
Built-up  Area,Ready To Move,Vidyaranyapura,2,DSestil,1440,2,0,70
Built-up  Area,Ready To Move,Ramamurthy Nagar,1,SamesHo,1300,2,2,52
Super built-up  Area,Ready To Move,Thanisandra,4,Bhmesy ,1276,2,2,75
Plot  Area,Ready To Move,Gidada Konnenahalli,3,,600,4,2,105
Super built-up  Area,Ready To Move,Whitefield,1,Prtates,1216,2,1,83
Super built-up  Area,18-Apr,Marenahalli,1,,840,1,0,75
Plot  Area,Ready To Move,Sector 1 HSR Layout,3,,1240,5,3,300
Built-up  Area,Ready To Move,Sompura,3,Suiseit,1126,2,2,39
Plot  Area,Ready To Move,Mysore Road,2,,45,1,0,23
Super built-up  Area,18-May,Raja Rajeshwari Nagar,3,Cee 2du,1162,2,0,65
Super built-up  Area,Ready To Move,Whitefield,2,Nillsre,1301,2,2,65
Super built-up  Area,19-Dec,Devanahalli,3,Sabixtt,658,1,1,34
Plot  Area,Ready To Move,Sahakara Nagar,2,,1350,3,1,250
Super built-up  Area,Ready To Move,Whitefield,2,Toindls,2500,3,2,280
Built-up  Area,Ready To Move,1st Phase JP Nagar,2,Opamaan,78.03Sq. Meter,1,1,63
Built-up  Area,Ready To Move,Chandapura,2,Vailsaf,1208.51,3,2,42
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,2,38.41
Super built-up  Area,Ready To Move,Shettigere,5,LendaVi,1760,2,1,116
Super built-up  Area,Ready To Move,Bisuvanahalli,4,Prityel,1075,2,1,52
Super built-up  Area,Ready To Move,Sarjapur,1,DSousyl,940,2,1,25.38
Super built-up  Area,Ready To Move,Badavala Nagar,3,CMDewun,1145,2,2,57
Super built-up  Area,Ready To Move,Bannerghatta Road,3,SNity S,1255 - 1350,2,0,67.73
Built-up  Area,Ready To Move,Rahat Bagh,3,Saaintv,3900,5,1,550
Super built-up  Area,Ready To Move,Omarbagh Layout,2,SNtua S,3300 - 3335,5,0,268.5
Built-up  Area,Ready To Move,Dasarahalli,1,,1300,2,2,50
Super built-up  Area,Ready To Move,Malleshwaram,2,Sariaat,2475,4,3,326
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2,SGncy R,2040,3,,200
Built-up  Area,Ready To Move,Hosakerehalli,3,,1200,1,0,150
Plot  Area,Ready To Move,Jigani,3,,2420,4,1,190
Built-up  Area,Ready To Move,Thubarahalli,4,ShdhiSa,1216,2,1,80
Super built-up  Area,Ready To Move,Tumkur Road,3,Soire A,1459,2,1,110
Super built-up  Area,Ready To Move,Jakkur,2,Soral C,1622,2,0,80
Super built-up  Area,Ready To Move,Kanakpura Road,4,PuandHi,1843,3,2,85
Super built-up  Area,20-Jan,Badavala Nagar,2,DNncasa,1274,2,1,81
Plot  Area,Ready To Move,Chikkasandra,3,,600,1,1,52
Super built-up  Area,Ready To Move,Malleshpalya,2,KencyRe,1430,2,1,69.5
Plot  Area,Ready To Move,Kammanahalli,6,,1800,2,0,280
Super built-up  Area,Ready To Move,Begur Road,3,Dhalsh ,1565,2,2,57.91
Super built-up  Area,Ready To Move, Devarabeesana Halli,3,Sorisa ,1670,3,2,160
Super built-up  Area,Ready To Move,Lakshminarayana Pura,4,RothaVa,1695,3,2,150
Super built-up  Area,Ready To Move,Akshayanagara West,3,ISeekon,1410,2,2,75
Super built-up  Area,Ready To Move,Kengeri Satellite Town,1,,1060,2,3,42
Built-up  Area,Ready To Move,Sarjapur  Road,3,,1120,2,2,50
Plot  Area,Ready To Move,Hosa Road,1,,880,2,0,50
Super built-up  Area,19-Dec,Jalahalli,2,DSata S,1083,2,1,32.49
Super built-up  Area,Ready To Move,Dodda Nekkundi,4,,1435,3,3,57.2
Super built-up  Area,Ready To Move,Doddakallasandra,3,,1425,2,2,56.99
Super built-up  Area,Ready To Move,Arekere,1,Chiteny,900,2,3,50
Built-up  Area,18-Feb,Escorts Colony,2,,2400,5,2,93
Built-up  Area,21-Dec,Thanisandra,1,Bhe 2ko,693,1,1,34.3
Plot  Area,Ready To Move,Kengeri,1,,600,3,1,90
Super built-up  Area,20-Dec,Electronic City,1,KonteiT,2435,4,3,119
Super built-up  Area,18-Aug,Iblur Village,2,DNionfl,1920,3,2,150
Super built-up  Area,18-Mar,Electronic City,3,Prarkun,630,1,1,47
Super built-up  Area,Ready To Move,Bisuvanahalli,2,Prityel,1075,2,1,50
Plot  Area,Ready To Move,Hulimavu,3,,1200,5,0,101
Super built-up  Area,Ready To Move,Nagavarapalya,3,PuonsSe,705,1,1,55
Super built-up  Area,18-Dec,Srinivasa Nagar,2,,1200,2,2,75.6
Super built-up  Area,Ready To Move,Mahadevpura,2,3Codeli,1532,2,2,62
Super built-up  Area,Ready To Move,Rajiv Nagar,3,PuoodSk,1330,2,1,93
Plot  Area,Ready To Move,3rd Block Hrbr Layout,3,,1200,3,1,210
Built-up  Area,Ready To Move,Sarjapur  Road,3,Nauha G,1530,2,2,60
Super built-up  Area,Ready To Move,Kasavanhalli,3,,1105,2,2,42
Plot  Area,Ready To Move,1st Phase JP Nagar,1,,1566,2,0,180
Super built-up  Area,18-Jul,Harlur,3,Shodsir,1630,3,1,95.1
Built-up  Area,Ready To Move,5th Phase JP Nagar,5,,1256,2,1,62.8
Built-up  Area,Ready To Move,Banashankari,3,Giaver ,1200,6,2,180
Built-up  Area,Ready To Move,Brookefield,3,Saowson,1595,2,3,75
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Hiestre,1000,2,2,53
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3,,1475,2,2,58.99
Plot  Area,18-May,"asha township, off hennur road",1,,2400,5,3,285
Super built-up  Area,18-May,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Plot  Area,Ready To Move,1A Block Koramangala,2,,2360,4,1,650
Super built-up  Area,Ready To Move,Uttarahalli,2,,1737,2,3,95
Super built-up  Area,18-Aug,Electronic City Phase II,2,Sryalan,1000,2,1,28.88
Super built-up  Area,Ready To Move,Near International Airport,1,,2100,4,2,150
Built-up  Area,Ready To Move,Hosakerehalli,2,,3600,6,1,145
Built-up  Area,Ready To Move,Mysore Road,1,PrawnRa,883,2,1,50
Super built-up  Area,Ready To Move,Haralur Road,2,,1243,2,2,46
Super built-up  Area,Ready To Move,BTM Layout,2,Raide P,1776,2,3,75
Super built-up  Area,19-Dec,Anjanapura,3,DSapeto,1347,2,1,37.72
Super built-up  Area,Ready To Move,Whitefield,2,KKdenng,1330,2,2,55
Plot  Area,Ready To Move,Sector 1 HSR Layout,1,,600,2,1,120
Built-up  Area,Ready To Move,Rajaji Nagar,1,,3730,4,3,370
Super built-up  Area,Ready To Move,Harlur,1,SomonCi,1459,3,2,135
Super built-up  Area,19-Dec,Thanisandra,3,Bhe 2ko,2259,5,2,135
Built-up  Area,Ready To Move,JP Nagar,3,,2700,4,1,160
Super built-up  Area,Ready To Move,Gubbalala,1,,1008,2,2,32.25
Super built-up  Area,Ready To Move,NTI Layout,1,Vaent V,1200,2,2,52.5
Super built-up  Area,18-May,Vasanth nagar,2,Dheusag,2328,4,1,528
Plot  Area,Ready To Move,BTM 1st Stage,2,,600,7,3,110
Super built-up  Area,Ready To Move,Electronic City,1,Itelaa ,660,1,1,15.5
Super built-up  Area,Ready To Move,Rajaji Nagar,1,Brway G,1800,2,2,250
Super built-up  Area,Ready To Move,Rajaji Nagar,2,Brway G,3100,4,3,550
Super built-up  Area,19-Aug,Yelahanka,2,SMllay ,1180 - 1630,2,0,50.58
Super built-up  Area,18-May,Yelahanka,2,Prensya,602,1,1,26
